Digit;1;2;3;4;5;6;7;8;9;Chi2
Year;;;;;;;;;;
2007;0.310;0.167;0.093;0.053;0.050;0.119;0.064;0.109;0.034;56.001
2008;0.310;0.172;0.095;0.106;0.069;0.093;0.077;0.024;0.053;15.606
2009;0.316;0.175;0.101;0.095;0.085;0.069;0.093;0.032;0.034;13.908
2010;0.318;0.175;0.095;0.090;0.093;0.061;0.095;0.034;0.037;16.059
2011;0.314;0.174;0.103;0.087;0.092;0.066;0.103;0.029;0.032;21.363
