Digit;1;2;3;4;5;6;7;8;9;Chi2
Year;;;;;;;;;;
2007;0.309;0.160;0.096;0.094;0.067;0.102;0.051;0.054;0.067;21.647
2008;0.314;0.160;0.093;0.100;0.065;0.100;0.044;0.062;0.064;23.021
2009;0.310;0.176;0.091;0.091;0.071;0.093;0.051;0.060;0.058;14.559
2010;0.310;0.172;0.091;0.087;0.082;0.087;0.049;0.065;0.056;13.556
2011;0.310;0.172;0.087;0.083;0.087;0.078;0.060;0.058;0.064;13.336
