Digit;1;2;3;4;5;6;7;8;9;Chi2;Nc
Year;;;;;;;;;;;
2007;0.279;0.210;0.142;0.078;0.055;0.059;0.068;0.064;0.046;6.075;219
2008;0.289;0.220;0.138;0.078;0.046;0.073;0.055;0.064;0.037;7.940;218
2009;0.280;0.220;0.142;0.078;0.041;0.069;0.064;0.064;0.041;8.993;218
2010;0.303;0.206;0.142;0.073;0.050;0.073;0.060;0.060;0.032;6.516;218
2011;0.284;0.211;0.151;0.069;0.055;0.073;0.041;0.073;0.041;9.698;218
