Digit;1;2;3;4;5;6;7;8;9;Chi2;Nc
Year;;;;;;;;;;;
2007;0.322 ;0.159; 0.127; 0.100 ;0.077 ;0.065 ;0.062; 0.062 ;0.027 ;4.713;339
2008;0.300;0.168;0.126;0.099;0.081;0.048 ;0.075 ;0.060 ;0.042 ;4.225;339
2009;0.285;0.171;0.135;0.105;0.078;0.048;0.084 ;0.039 ;0.054 ;7.975;339
2010;0.300;0.168;0.120;0.114;0.078;0.057 ;0.072;0.048 ;0.042 ;2.992;339
2011;0.294;0.156;0.117;0.120;0.087;0.048 ;0.072 ;0.048 ;0.057 ;6.986;339
