Digit;1;2;3;4;5;6;7;8;9;Chi2;Nc
Year;;;;;;;;;;;
2007;0.304;0.193;0.119;0.095;0.061;0.058;0.053;0.056;0.061;4.980;378
2008;0.310;0.188;0.127;0.093;0.069;0.050;0.066;0.042;0.056;4.360;378
2009;0.315;0.193;0.116;0.087;0.082;0.048;0.061;0.040;0.058;5.894;378
2010;0.320;0.190;0.119;0.093;0.077;0.053;0.056;0.034;0.058;5.613;378
2011;0.312;0.198;0.127;0.079;0.077;0.061;0.045;0.048;0.053;4.297;378
