Digit;1;2;3;4;5;6;7;8;9;Chi2;Nc
Year;;;;;;;;;;;
2007;0.243;0.125;0.191;0.118;0.074;0.074;0.074;0.051;0.051;9.741;136
2008;0.221;0.110;0.213;0.118;0.059;0.103;0.044;0.074;0.059;20.990;136
2009;0.250;0.110;0.184;0.110;0.081;0.103;0.051;0.066;0.044;11?890;136
2010;0.228;0.132;0.169;0.118;0.096;0.081;0.066;0.037;0.074;10.475;136
2011;0.235;0.140;0.169;0.096;0.103;0.081;0.081;0.029;0.066;10.190;136
