Digit;1;2;3;4;5;6;7;8;9;Chi2;Nc
Year;;;;;;;;;;;
2007;0.268;0.172;0.092;0.121;0.084;0.063;0.054;0.071;0.075;11.051;239
2008;0.285;0.172;0.092;0.113;0.084;0.071;0.059;0.054;0.071;6.486;239
2009;0.280;0.180;0.088;0.117;0.088;0.071;0.067;0.042;0.067;7.370;239
2010;0.285;0.180;0.096;0.096;0.109;0.054;0.071;0.038;0.071;9.946;239
2011;0.293;0.197;0.088;0.096;0.105;0.042;0.071;0.054;0.054;8.608;239
