Digit;1;2;3;4;5;6;7;8;9;Chi2;Nc
Year;;;;;;;;;;;
2007;0.296;0.201 ;0.103 ;0.078 ;0.069 ;0.069 ;0.057 ;0.066 ;0.060 ;7.516;348
2008;0.310;0.204 ;0.101 ;0.080;0.066 ;0.066 ;0.060 ;0.063 ;0.049 ;6.121;348
2009;0.305;0.201 ;0.103 ;0.072;0.075 ;0.060 ;0.060 ;0.060 ;0.063 ;8.040;348
2010;0.290;0.201 ;0.112 ;0.072 ;0.072 ;0.055 ;0.066 ;0.063;0.069;10.604;348
2011;0.299;0.195 ;0.115 ;0.072 ;0.060 ;0.069 ;0.063 ;0.072 ;0.055;8.529;348
