"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.322,0.159,0.127,0.1,0.077,0.065,0.062,0.062,0.027,0.788,0.3289,0.8006,0.5625,339
"2008",0.3,0.168,0.126,0.099,0.081,0.048,0.075,0.06,0.042,0.836,0.4514,0.9663,0.8216,339
"2009",0.285,0.171,0.135,0.105,0.078,0.048,0.084,0.039,0.054,0.436,0.9911,0.8893,0.6553,339
"2010",0.3,0.168,0.12,0.114,0.078,0.057,0.072,0.048,0.042,0.935,0.5342,0.9217,0.9683,339
"2011",0.294,0.156,0.117,0.12,0.087,0.048,0.072,0.048,0.057,0.538,0.8608,0.7356,0.4366,339
