"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.279,0.21,0.142,0.078,0.055,0.059,0.068,0.064,0.046,0.638830973250308,0.0834,0.889,0.8781,219
"2008",0.289,0.22,0.138,0.078,0.046,0.073,0.055,0.064,0.037,0.439352992236648,0.3473,0.8401,0.6016,218
"2009",0.28,0.22,0.142,0.078,0.041,0.069,0.064,0.064,0.041,0.342886812852669,0.0971,0.9107,0.8695,218
"2010",0.303,0.206,0.142,0.073,0.05,0.073,0.06,0.06,0.032,0.589633467454711,0.0909,0.7312,0.4414,218
"2011",0.284,0.211,0.151,0.069,0.055,0.073,0.041,0.073,0.041,0.286865325248951,0.1816,0.8975,0.805,218
