"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.27,0.23,0.095,0.081,0.122,0.054,0.081,0.041,0.027,0.708,0.6327,0.7276,0.9016,74
"2008",0.27,0.243,0.108,0.068,0.108,0.054,0.081,0.014,0.054,0.563,0.8059,0.9388,0.8246,74
"2009",0.284,0.203,0.122,0.054,0.149,0.054,0.068,0.027,0.041,0.486,0.6055,0.799,0.87,74
"2010",0.284,0.216,0.108,0.027,0.162,0.068,0.054,0.041,0.041,0.185,0.6449,0.9226,0.9828,74
"2011",0.284,0.176,0.135,0.041,0.135,0.081,0.054,0.027,0.068,0.501,0.984,0.9076,0.654,74
