"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.298,0.152,0.132,0.098,0.073,0.073,0.068,0.046,0.059,0.81550449128729,0.3283,0.4814,0.2696,409
"2008",0.301,0.164,0.127,0.093,0.073,0.068,0.073,0.042,0.059,0.808030821903171,0.2575,0.5987,0.4458,409
"2009",0.298,0.164,0.12,0.1,0.064,0.076,0.071,0.049,0.059,0.764075574305046,0.4811,0.3775,0.2696,409
"2010",0.308,0.166,0.115,0.103,0.061,0.081,0.073,0.051,0.042,0.71188628860234,0.6057,0.9209,0.7185,409
"2011",0.301,0.166,0.117,0.095,0.073,0.086,0.064,0.054,0.044,0.933096169971498,0.3789,0.8138,0.521,409
