Digit;1;2;3;4;5;6;7;8;9;Chi2;Smooth T2;Smooth T_hat;Nc
Year;;;;;;;;;;;;;
2007;0.380;0.207;0.130;0.065;0.109;0.054;0.011;0.022;0.022;10.855;;;92
2008;0.370;0.207;0.130;0.065;0.120;0.043;0.022;0.022;0.022;10.348;;;92
2009;0.370;0.207;0.130;0.076;0.120;0.043;0.022;0.022;0.011;11.093;;;92
2010;0.370;0.217;0.120;0.076;0.109;0.065;0.011;0.000;0.033;12.352;;;92
2011;0.380;0.217;0.109;0.087;0.109;0.054;0.011;0.011;0.022;11.938;;;92
