Digit;1;2;3;4;5;6;7;8;9;Chi2;Smooth T2;Smooth T_hat;Nc
Year;;;;;;;;;;;;;
2007;0.304;0.185;0.119;0.091;0.088;0.061;0.064;0.052;0.036;6.279;;;1206
2008;0.300;0.186;0.112;0.096;0.085;0.065;0.065;0.044;0.047;5.175;;;1206
2009;0.303;0.180;0.110;0.095;0.090;0.061;0.061;0.053;0.046;4.925;;;1206
2010;0.304;0.185;0.111;0.094;0.086;0.055;0.055;0.054;0.041;4.327;;;1206
2011;0.299;0.186;0.114;0.095;0.076;0.056;0.056;0.051;0.042;5.709;;;1206
