"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.296,0.201,0.103,0.078,0.069,0.069,0.057,0.066,0.06,0.482115115970457,0.01,0.1319,0.3981,348
"2008",0.31,0.204,0.101,0.08,0.066,0.066,0.06,0.063,0.049,0.633680087741091,0.0355,0.3107,0.9791,348
"2009",0.305,0.201,0.103,0.072,0.075,0.06,0.06,0.06,0.063,0.429572584688065,0.00480000000000003,0.0904,0.5742,348
"2010",0.29,0.201,0.112,0.072,0.072,0.055,0.066,0.063,0.069,0.225161962024406,0.0185999999999999,0.0439,0.2501,348
"2011",0.299,0.195,0.115,0.072,0.06,0.069,0.063,0.072,0.055,0.383570955599207,0.0187,0.1279,0.4228,348
