Digit;1;2;3;4;5;6;7;8;9;Chi2;Smooth T2;Smooth T_hat;Nc
Year;;;;;;;;;;;;;
2007;0.290;0.160;0.130;0.061;0.122;0.076;0.061;0.023;0.076;9.965;;;131
2008;0.282;0.168;0.107;0.107;0.084;0.092;0.031;0.061;0.069;5.365;;;131
2009;0.290;0.160;0.122;0.099;0.061;0.099;0.053;0.053;0.061;3.567;;;131
2010;0.290;0.168;0.115;0.092;0.076;0.122;0.023;0.053;0.061;9.692;;;131
2011;0.305;0.160;0.099;0.115;0.053;0.122;0.046;0.046;0.053;8.938;;;131
