"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.29,0.16,0.13,0.061,0.122,0.076,0.061,0.023,0.076,0.267491061320164,0.2894,0.7075,0.4279,131
"2008",0.282,0.168,0.107,0.107,0.084,0.092,0.031,0.061,0.069,0.71794653032904,0.6331,0.5577,0.3145,131
"2009",0.29,0.16,0.122,0.099,0.061,0.099,0.053,0.053,0.061,0.893928030355642,0.2253,0.647,0.3877,131
"2010",0.29,0.168,0.115,0.092,0.076,0.122,0.023,0.053,0.061,0.287312297908946,0.7445,0.7848,0.4926,131
"2011",0.305,0.16,0.099,0.115,0.053,0.122,0.046,0.046,0.053,0.347553201067129,0.5055,0.8739,0.611,131
