"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.292,0.187,0.105,0.085,0.089,0.056,0.075,0.052,0.059,0.716185500630649,0.1349,0.3964,0.3316,305
"2008",0.295,0.17,0.111,0.089,0.098,0.059,0.062,0.056,0.059,0.870223476060298,0.2203,0.4646,0.309,305
"2009",0.289,0.164,0.111,0.102,0.079,0.062,0.066,0.056,0.072,0.637151133105662,0.1456,0.1029,0.0906,305
"2010",0.298,0.154,0.121,0.092,0.085,0.069,0.066,0.052,0.062,0.917562388004208,0.1151,0.3308,0.2113,305
"2011",0.318,0.144,0.115,0.095,0.079,0.062,0.079,0.059,0.049,0.745649112007595,0.2476,0.4434,0.38,305
