"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.31,0.167,0.093,0.053,0.05,0.119,0.064,0.109,0.034,0,0.761,0.0102,0,337
"2008",0.31,0.172,0.095,0.106,0.069,0.093,0.077,0.024,0.053,0.048,0.6591,0.956,0.7718,337
"2009",0.316,0.175,0.101,0.095,0.085,0.069,0.093,0.032,0.034,0.084,0.4757,0.8248,0.7408,337
"2010",0.318,0.175,0.095,0.09,0.093,0.061,0.095,0.034,0.037,0.042,0.1286,0.9623,0.816,337
"2011",0.314,0.174,0.103,0.087,0.092,0.066,0.103,0.029,0.032,0.006,0.8318,0.8596,0.8805,337
