"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.272,0.209,0.085,0.089,0.077,0.098,0.043,0.047,0.081,0.0435395762379364,0.0785,0.1723,0.1482,235
"2008",0.268,0.213,0.089,0.081,0.055,0.111,0.055,0.034,0.094,0.000659958666445944,0.5971,0.0441,0.0734,235
"2009",0.294,0.209,0.077,0.098,0.06,0.094,0.06,0.034,0.077,0.0465832910437867,0.1058,0.2666,0.4182,235
"2010",0.289,0.196,0.094,0.102,0.047,0.094,0.072,0.03,0.077,0.043043265571478,0.5698,0.2849,0.3197,235
"2011",0.306,0.191,0.089,0.115,0.047,0.089,0.06,0.043,0.06,0.286195824400148,0.2465,0.6496,0.8003,235
