"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.243,0.125,0.191,0.118,0.074,0.074,0.074,0.051,0.051,0.283676971145147,"0.1654","0.1621",136
"2008",0.221,0.11,0.213,0.118,0.059,0.103,0.044,0.074,0.059,0.0071740411921635,"0.0468","0.0332",136
"2009",0.25,0.11,0.184,0.11,0.081,0.103,0.051,0.066,0.044,0.156179707529795,"0.1098","0.1159",136
"2010",0.228,0.132,0.169,0.118,0.096,0.081,0.066,0.037,0.074,0.233255920805587,"0.0792","0.0505",136
"2011",0.235,0.14,0.169,0.096,0.103,0.081,0.081,0.029,0.066,0.251942908108565,"0.1171","0.0869",136
