"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.304,0.185,0.119,0.091,0.088,0.061,0.064,0.052,0.036,0.616011050347259,0.4303,0.6265,0.4586,1206
"2008",0.3,0.186,0.112,0.096,0.085,0.065,0.065,0.044,0.047,0.738718650406555,0.4175,0.9989,0.9634,1206
"2009",0.303,0.18,0.11,0.095,0.09,0.061,0.061,0.053,0.046,0.765561357418796,0.3731,0.9253,0.7872,1206
"2010",0.304,0.185,0.111,0.094,0.086,0.055,0.055,0.054,0.041,0.826481325914191,0.261,0.6257,0.3603,1206
"2011",0.299,0.186,0.114,0.095,0.076,0.056,0.056,0.051,0.042,0.679790717518849,0.3113,0.6206,0.3836,1206
