"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.331,0.188,0.125,0.059,0.066,0.07,0.035,0.059,0.066,0.171,0.1116,0.0447,0.0127,287
"2008",0.328,0.195,0.105,0.08,0.07,0.059,0.042,0.059,0.063,0.526,0.1689,0.0862,0.7128,287
"2009",0.321,0.206,0.094,0.084,0.073,0.056,0.038,0.066,0.063,0.255,0.0868,0.08,0.8413,287
"2010",0.341,0.195,0.101,0.084,0.066,0.059,0.042,0.045,0.066,0.346,0.1837,0.0427,0.3577,287
"2011",0.369,0.185,0.101,0.091,0.073,0.042,0.056,0.038,0.045,0.28,0.5633,0.023,0.0302,287
