"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.304,0.193,0.119,0.095,0.061,0.058,0.053,0.056,0.061,0.759711609990249,"0.3019","0.9735",378
"2008",0.31,0.188,0.127,0.093,0.069,0.05,0.066,0.042,0.056,0.823270766389496,"0.5663","0.6545",378
"2009",0.315,0.193,0.116,0.087,0.082,0.048,0.061,0.04,0.058,0.659104235271973,"0.4213","0.5388",378
"2010",0.32,0.19,0.119,0.093,0.077,0.053,0.056,0.034,0.058,0.690490956351609,"0.3698","0.3321",378
"2011",0.312,0.198,0.127,0.079,0.077,0.061,0.045,0.048,0.053,0.829382310167629,"0.4356","0.3754",378
