"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.31,0.165,0.136,0.117,0.057,0.057,0.062,0.04,0.057,0.184,0.172,0.7696,0.7135,581
"2008",0.313,0.167,0.139,0.107,0.062,0.062,0.065,0.041,0.043,0.619,0.2677,0.6665,0.3736,581
"2009",0.32,0.17,0.138,0.105,0.062,0.064,0.062,0.043,0.036,0.613,0.4083,0.3163,0.1389,581
"2010",0.325,0.172,0.138,0.103,0.067,0.062,0.055,0.053,0.024,0.297,0.5266,0.0936,0.0417,581
"2011",0.322,0.17,0.134,0.105,0.071,0.057,0.06,0.048,0.033,0.704,0.7627,0.2698,0.1178,581
