"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","T2","Tk_hat","Nc"
"2007",0.309,0.16,0.096,0.094,0.067,0.102,0.051,0.054,0.067,0.00561353071872025,0.2007,0.0256,0.0629,551
"2008",0.314,0.16,0.093,0.1,0.065,0.1,0.044,0.062,0.064,0.00333738909576643,0.4043,0.0345,0.1135,551
"2009",0.31,0.176,0.091,0.091,0.071,0.093,0.051,0.06,0.058,0.0683093731350811,0.0895,0.0964,0.2362,551
"2010",0.31,0.172,0.091,0.087,0.082,0.087,0.049,0.065,0.056,0.094097695160281,0.0687,0.0889,0.1858,551
"2011",0.31,0.172,0.087,0.083,0.087,0.078,0.06,0.058,0.064,0.100799959831637,0.00729999999999997,0.0241,0.1058,551
