Digit;1;2;3;4;5;6;7;8;9;Chi2;Smooth T2;Smooth T_hat;Nc
Year;;;;;;;;;;;;;
2007;0.306 ;0.194 ;0.116 ;0.089 ;0.089 ;0.043 ;0.054 ;0.047 ;0.062 ;5.060;;;258
2008;0.295 ;0.213 ;0.101 ;0.101 ;0.074 ;0.078 ;0.039 ;0.047 ;0.054 ;5.989;;;258
2009;0.291 ;0.217 ;0.101 ;0.097 ;0.074 ;0.078 ;0.035 ;0.062 ;0.047 ;7.260;;;258
2010;0.302 ;0.209 ;0.105 ;0.101 ;0.078 ;0.074 ;0.031 ;0.062;0.039 ;6.800;;;258
2011;0.310 ;0.202 ;0.112 ;0.101 ;0.070 ;0.074 ;0.035 ;0.054 ;0.043 ;4.325;;;258
