"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.268,0.172,0.092,0.121,0.084,0.063,0.054,0.071,0.075,0.198826181662745,0.1084,0.049,0.0259,239
"2008",0.285,0.172,0.092,0.113,0.084,0.071,0.059,0.054,0.071,0.592960945314754,0.1634,0.2085,0.1223,239
"2009",0.28,0.18,0.088,0.117,0.088,0.071,0.067,0.042,0.067,0.497288466840578,0.1389,0.4198,0.1998,239
"2010",0.285,0.18,0.096,0.096,0.109,0.054,0.071,0.038,0.071,0.268836495017793,0.4726,0.4287,0.2392,239
"2011",0.293,0.197,0.088,0.096,0.105,0.042,0.071,0.054,0.054,0.376435165780826,0.5014,0.7164,0.5669,239
