Digit;1;2;3;4;5;6;7;8;9;Chi2;Smooth T2;Smooth T_hat;Nc
Fibonacci;0.301301301;0.177177177;0.125125125;0.095095095;0.08008008;0.067067067;0.056056056;0.053053053;0.045045045;21.647;;;551
AMPM;0.293 ;0.18;0.10666667;0.1;0.08666667;0.7;0.0666667;0.53333333;0.43333333;23.021;;;551
Les échos;0.235483871;0.161290323;0.141935484;0.116129032;0.109677419;0.077419355;0.074193548;0.05483871;0.029032258;14.559;;;551
Population;0.27354688;0.18780786;0.13257904;0.09526226;0.08352987;0.07176762;0.05919933;0.05200466;0.04430247;13.556;;;551
Vélos;0.525116402;0.0978836;0.05555556;0.05291005;0.04232804;0.05555556;0.05555556;0.07142857;0.04761905;13.336;;;551
Humains;0.1351351351;0.14;0.1133333333;0.1;0.1233333333;0.1066666667;0.09666666667;0.07666666667;0.08666666667;13.336;;;551
