"ï..Digit","X1","X2","X3","X4","X5","X6","X7","X8","X9","Chi2","Watson","Smooth.T2","Smooth.T_hat","Nc"
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",0.298,0.168,0.118,0.092,0.087,0.074,0.064,0.05,0.048,0.725411761872261,0.4493,0.4793,0.2252,1546
"2008",0.297,0.175,0.115,0.089,0.085,0.073,0.07,0.045,0.051,0.287312297908946,0.1633,0.4028,0.1967,1546
"2009",0.299,0.176,0.114,0.093,0.085,0.072,0.07,0.048,0.043,0.499593201324591,0.3951,0.759,0.5263,1546
"2010",0.296,0.172,0.119,0.096,0.082,0.071,0.069,0.054,0.043,0.7917831067048,0.4562,0.4895,0.258,1544
"2011",0.3,0.172,0.117,0.097,0.078,0.074,0.067,0.051,0.043,0.774952284064003,0.2579,0.7833,0.5068,1544
